table,column,missing_count,missing_percent
repositories,repo_id,0,0.0
repositories,full_name,0,0.0
repositories,owner,0,0.0
repositories,owner_id,0,0.0
repositories,repo_name,0,0.0
repositories,description,1,0.13
repositories,language,70,9.17
repositories,topics,0,0.0
repositories,stars_count,0,0.0
repositories,forks_count,0,0.0
repositories,watchers_count,0,0.0
repositories,subscribers_count,0,0.0
repositories,network_count,0,0.0
repositories,open_issues_count,0,0.0
repositories,size,0,0.0
repositories,created_at,0,0.0
repositories,updated_at,0,0.0
repositories,pushed_at,0,0.0
repositories,default_branch,0,0.0
repositories,archived,0,0.0
repositories,disabled,0,0.0
repositories,is_fork,0,0.0
repositories,has_issues,0,0.0
repositories,has_projects,0,0.0
repositories,has_downloads,0,0.0
repositories,has_wiki,0,0.0
repositories,license,67,8.78
repositories,html_url,0,0.0
repositories,homepage,153,20.05
repositories,collected_at,0,0.0
stars,repo_id,0,0.0
stars,repo_full_name,0,0.0
stars,user_id,0,0.0
stars,username,0,0.0
stars,user_type,0,0.0
stars,starred_at,0,0.0
stars,collected_at,0,0.0
user_repo_interactions,user_id,0,0.0
user_repo_interactions,username,0,0.0
user_repo_interactions,repo_id,0,0.0
user_repo_interactions,repo_full_name,0,0.0
user_repo_interactions,starred_at,0,0.0
user_repo_interactions,interaction,0,0.0
daily_timeseries,repo_id,0,0.0
daily_timeseries,repo_full_name,0,0.0
daily_timeseries,date,0,0.0
daily_timeseries,daily_new_stars,0,0.0
daily_timeseries,cumulative_stars,0,0.0
daily_timeseries,daily_growth_rate,145,1.3
weekly_timeseries,repo_id,0,0.0
weekly_timeseries,repo_full_name,0,0.0
weekly_timeseries,week,0,0.0
weekly_timeseries,weekly_new_stars,0,0.0
weekly_timeseries,cumulative_stars,0,0.0
weekly_timeseries,previous_week_stars,145,6.44
weekly_timeseries,weekly_growth_rate,145,6.44
weekly_timeseries,herd_momentum_score,0,0.0
herd_modeling,repo_id,0,0.0
herd_modeling,repo_full_name,0,0.0
herd_modeling,early_4week_stars,0,0.0
herd_modeling,early_avg_weekly_stars,0,0.0
herd_modeling,early_max_weekly_stars,0,0.0
herd_modeling,later_stars,0,0.0
herd_modeling,later_avg_weekly_stars,0,0.0
herd_modeling,became_high_growth,0,0.0
herd_modeling,language,13,8.97
herd_modeling,topics,0,0.0
herd_modeling,stars_count,0,0.0
herd_modeling,forks_count,0,0.0
herd_modeling,watchers_count,0,0.0
herd_modeling,open_issues_count,0,0.0
herd_modeling,created_at,0,0.0
herd_modeling,updated_at,0,0.0
herd_modeling,pushed_at,0,0.0
herd_modeling,archived,0,0.0
herd_modeling,is_fork,0,0.0
herd_modeling,license,9,6.21
herd_modeling,html_url,0,0.0
